Year,State,Region,County,Median Income,Median Housing Price
2018,California,SoCal,Santa Barbara County,77472,662729.1666666666
2018,California,SoCal,San Diego County,79079,631283.3333333334
2018,California,SoCal,Riverside County,66964,401593.3333333333
2018,California,SoCal,San Bernardino County,63857,289050.0
2018,California,SoCal,San Luis Obispo County,71148,616472.0833333334
2018,California,SoCal,Kern County,51579,239865.0
2018,California,SoCal,Orange County,89759,815319.1666666666
2018,California,SoCal,Ventura County,84566,654005.8333333334
2018,California,SoCal,Los Angeles County,68093,572350.0
2019,California,SoCal,Los Angeles County,72797,591863.3333333334
2019,California,SoCal,Santa Barbara County,75653,692416.6666666666
2019,California,SoCal,San Diego County,83985,643795.8333333334
2019,California,SoCal,Riverside County,73260,418287.5
2019,California,SoCal,San Bernardino County,67903,310350.0
2019,California,SoCal,San Luis Obispo County,77265,626875.0
2019,California,SoCal,Kern County,53067,254200.0
2019,California,SoCal,Orange County,95934,822662.5
2019,California,SoCal,Ventura County,92236,651220.8333333334
2021,California,SoCal,Los Angeles County,77456,771858.3333333334
2021,California,SoCal,Orange County,100559,1089291.6666666667
2021,California,SoCal,Riverside County,79024,557783.3333333334
2021,California,SoCal,San Bernardino County,74846,424908.3333333333
2021,California,SoCal,Santa Barbara County,84846,1019211.6666666666
2021,California,SoCal,Ventura County,96454,819937.5
2021,California,SoCal,San Diego County,91003,826297.5
2021,California,SoCal,San Luis Obispo County,80615,768792.5
2021,California,SoCal,Kern County,58217,324036.6666666667
2022,California,SoCal,Kern County,66234,372740.0
2022,California,SoCal,Los Angeles County,82516,825003.3333333334
2022,California,SoCal,Orange County,106209,1222730.0
2022,California,SoCal,Riverside County,86748,611668.3333333334
2022,California,SoCal,San Bernardino County,79091,471849.1666666667
2022,California,SoCal,San Diego County,98928,908187.5
2022,California,SoCal,San Luis Obispo County,90216,873750.0
2022,California,SoCal,Santa Barbara County,90894,1041875.0
2022,California,SoCal,Ventura County,102569,886541.6666666666
